iter	Passed	Remaining
897	1164	132
898	1165	130
899	1166	129
900	1167	128
901	1168	126
902	1169	125
903	1170	124
904	1171	122
905	1172	121
906	1173	120
907	1174	118
908	1175	117
909	1175	116
910	1176	114
911	1177	113
912	1178	112
913	1179	110
914	1180	109
915	1181	108
916	1181	106
917	1182	105
918	1183	104
919	1184	102
920	1185	101
921	1185	100
922	1186	99
923	1187	97
924	1188	96
925	1189	95
926	1190	93
927	1191	92
928	1192	91
929	1193	89
930	1193	88
931	1194	87
932	1195	85
933	1196	84
934	1197	83
935	1198	81
936	1199	80
937	1199	79
938	1200	78
939	1201	76
940	1202	75
941	1203	74
942	1204	72
943	1206	71
944	1207	70
945	1208	69
946	1210	67
947	1210	66
948	1211	65
949	1212	63
950	1213	62
951	1214	61
952	1214	59
953	1215	58
954	1216	57
955	1217	56
956	1218	54
957	1219	53
958	1220	52
959	1221	50
960	1222	49
961	1223	48
962	1224	47
963	1225	45
964	1226	44
965	1227	43
966	1227	41
967	1228	40
968	1229	39
969	1230	38
970	1231	36
971	1231	35
972	1233	34
973	1234	32
974	1235	31
975	1236	30
976	1238	29
977	1239	27
978	1240	26
979	1241	25
980	1242	24
981	1242	22
982	1243	21
983	1244	20
984	1245	18
985	1246	17
986	1247	16
987	1247	15
988	1248	13
989	1249	12
990	1250	11
991	1251	10
992	1252	8
993	1253	7
994	1254	6
995	1255	5
996	1256	3
997	1257	2
998	1258	1
999	1259	0
